rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
849,Alessandro Ingarao,Italy,ITA,18,799,2020-02-03,-1,0,18
850,Anas Fattar,Morocco,MAR,18,599,2008-12-15,-1,0,66
851,Daniil Glinka,Estonia,EST,18,836,2020-11-16,-1,0,18
852,Stefano Battaglino,Italy,ITA,18,815,2019-12-09,-1,0,18
853,Alexander Lebedev,United States,USA,18,825,2020-08-24,-1,0,18
854,Luca Prevosto,Italy,ITA,18,715,2019-09-23,0,0,30
855,Aryan Goveas,India,IND,18,679,2017-10-23,0,0,34
856,Carl Soderlund,Sweden,SWE,17,387,2017-05-08,0,0,110
857,Manuel Sanchez,Mexico,MEX,17,455,2019-03-18,0,0,62
858,Bradley Mousley,Australia,AUS,17,259,2018-02-26,0,0,195
859,Martin Beran,Canada,CAN,17,706,2016-10-17,0,0,32
860,Nathan Seateun,France,FRA,17,857,2021-01-11,0,0,17
861,Lorenzo Frigerio,Italy,ITA,17,375,2017-07-31,0,0,117
862,Pawel Cias,Poland,POL,17,393,2018-06-25,0,0,104
863,Juan Bautista Torres,Argentina,ARG,17,863,2021-02-01,20,1,17
864,Sem Verbeek,Netherlands,NED,17,531,2019-04-15,-1,0,30
865,Shinji Hazawa,Japan,JPN,17,514,2019-01-14,-1,0,20
866,Martin Damm,Czech Republic,CZE,17,42,1997-08-18,-1,0,974
867,Joao Monteiro,Portugal,POR,17,237,2017-11-13,-1,0,218
868,Gerard Granollers,Spain,ESP,17,217,2013-08-05,-1,0,221
869,Andrew Watson,United Kingdom,GBR,17,535,2019-08-12,-1,0,48
870,Matvey Khomentovskiy,Russian Federation,RUS,17,837,2019-09-30,-1,0,17
871,Duje Kekez,Croatia,CRO,17,422,2015-08-03,-1,0,93
872,Tadeas Paroulek,Czech Republic,CZE,17,531,2018-12-24,-1,0,62
873,Federico Arnaboldi,Italy,ITA,17,869,2019-12-09,-1,0,17
874,David Volfson,Canada,CAN,17,839,2020-02-24,-1,0,17
875,Yanki Erel,Turkey,TUR,17,875,2021-02-01,20,1,17
876,Juan Alejandro Hernandez Serrano,Mexico,MEX,17,827,2020-02-24,-2,0,17
877,Haru Inoue,Japan,JPN,16,800,2019-11-04,-2,0,18
878,Alexander Vasilenko,Russian Federation,RUS,16,441,2014-12-22,-2,0,88
879,San Hui Sin,"Korea, Republic of",KOR,16,823,2019-10-28,-2,0,17
880,Matteo Gigante,Italy,ITA,16,858,2020-11-09,-2,0,16
881,Flavio Cobolli,Italy,ITA,16,871,2020-12-14,-2,0,16
882,Liam Draxl,Canada,CAN,16,559,2019-07-29,-2,0,16
883,Vlad Andrei Dancu,Romania,ROU,16,655,2019-05-20,-2,0,24
884,Gabriel Alejandro Hidalgo,Argentina,ARG,16,311,2014-04-14,-2,0,145
885,Alfredo Perez,United States,USA,16,851,2020-08-24,-1,0,16
886,Christoph Negritu,Germany,GER,16,466,2018-12-24,-1,0,78
887,Kazuki Nishiwaki,Japan,JPN,16,763,2018-10-15,-1,0,27
888,Sarp Agabigun,Turkey,TUR,16,831,2017-10-16,-1,0,20
889,Ivan Liutarevich,Belarus,BLR,16,876,2019-11-18,-1,0,16
890,Tsung Hao Huang,"Taiwan, Province of China",TPE,16,797,2019-09-09,-1,0,18
891,Vladimir Korolev,Russian Federation,RUS,16,790,2019-09-30,-1,0,19
892,Michiel De Krom,Netherlands,NED,16,689,2018-03-05,-1,0,31
892,George Tsivadze,Georgia,GEO,16,733,2015-06-22,-1,0,31
894,Xin Gao,China,CHN,16,434,2016-11-07,-1,0,91
895,Toby Martin,United Kingdom,GBR,16,641,2015-06-22,-1,0,42
896,Ignacio Carou,Argentina,ARG,16,838,2020-02-10,0,0,17
897,Yibing Wu,China,CHN,15,298,2019-03-18,0,0,164
898,Matias Soto,Chile,CHI,15,779,2019-10-28,0,0,20
899,Victor Estrella,Dominican Republic,DOM,15,43,2015-07-13,0,0,976
900,Justin Eleveld,Netherlands,NED,15,828,2010-11-01,0,0,15
901,Gengo Kikuchi,Japan,JPN,15,638,2016-08-08,0,0,43
902,Aleksandre Bakshi,Georgia,GEO,15,844,2020-02-10,0,0,15
903,Leandro Riedi,Switzerland,SUI,15,882,2020-11-16,0,0,15
904,Stephane Robert,France,FRA,15,50,2016-10-24,0,0,926
905,Jack Findel Hawkins,United Kingdom,GBR,15,635,2018-12-03,0,0,43
906,Raphael Baltensperger,Switzerland,SUI,15,676,2017-11-13,0,0,33
907,Cengiz Aksu,Turkey,TUR,15,902,2019-10-21,0,0,15
908,Sora Fukuda,Japan,JPN,15,378,2017-11-13,0,0,110
909,Olukayode Alafia Damina Ayeni,United States,USA,15,436,2019-07-22,0,0,44
910,Pierre Delage,France,FRA,15,824,2019-10-07,0,0,17
911,Ugo Blanchet,France,FRA,15,857,2020-02-10,0,0,15
912,Rhett Purcell,United Kingdom,GBR,15,749,2018-09-10,0,0,28
913,Julian Bradley,Ireland,IRL,15,869,2020-03-02,0,0,15
914,Mikhail Fufygin,Russian Federation,RUS,15,484,2012-04-30,0,0,69
915,Dominik Palan,Czech Republic,CZE,15,855,2020-02-10,0,0,15
916,Anis Ghorbel,Tunisia,TUN,15,479,2016-09-19,0,0,76
917,Matej Sabanov,Croatia,CRO,14,640,2014-10-20,0,0,40
918,Abhinav Sanjeev Shanmugam,India,IND,14,509,2019-01-14,0,0,21
919,Vlad Victor Cornea,Romania,ROU,14,786,2015-06-22,0,0,25
920,Taha Baadi,Canada,CAN,14,870,2020-02-24,0,0,14
921,Zachary Eisinga,Netherlands,NED,14,866,2019-12-09,0,0,14
922,Cannon Kingsley,United States,USA,14,593,2019-05-27,0,0,14
923,Antonio Massara,Italy,ITA,14,465,2016-08-22,0,0,85
924,Rishab Agarwal,India,IND,14,691,2017-06-19,0,0,31
925,Giacomo Dambrosi,Italy,ITA,14,879,2020-02-24,0,0,14
926,Hong Kit Jack Wong,Hong Kong,HKG,14,653,2018-12-31,0,0,22
927,Dostanbek Tashbulatov,Kazakhstan,KAZ,14,871,2019-12-09,0,0,14
928,Cheng Yu Yu,"Taiwan, Province of China",TPE,14,531,2017-08-14,0,0,62
929,Stefan Palosi,Romania,ROU,14,923,2020-12-21,0,0,14
930,Yuanfeng Li,China,CHN,14,876,2020-02-17,0,0,14
931,Louis Dussin,France,FRA,14,918,2020-11-23,0,0,14
932,Niklas Guttau,Germany,GER,14,877,2020-01-13,0,0,14
933,Albano Olivetti,France,FRA,14,161,2014-05-26,0,0,344
934,Albert Roglan,Spain,ESP,14,823,2019-09-23,0,0,17
935,Sidane Pontjodikromo,Netherlands,NED,14,833,2018-12-24,0,0,22
936,Sergi Perez Contri,Spain,ESP,14,926,2019-11-18,0,0,14
937,Daniel Rodrigues,Portugal,POR,13,880,2019-12-09,0,0,13
938,Garrett Johns,United States,USA,13,924,2020-11-16,0,0,13
939,Ryan James Storrie,United Kingdom,GBR,13,626,2018-04-30,0,0,41
940,Luciano Darderi,Italy,ITA,13,937,2021-01-04,0,0,13
941,Julien Cagnina,Belgium,BEL,13,239,2017-10-30,0,0,212
942,Timo Stodder,Germany,GER,13,932,2020-12-07,0,0,13
943,Sumit Sarkar,United States,USA,13,872,2019-08-05,0,0,14
944,Jung Woong Na,"Korea, Republic of",KOR,13,404,2013-09-16,0,0,93
945,Christian Samuelsson,Sweden,SWE,13,885,2019-12-09,0,0,13
946,Gianni Mina,France,FRA,13,219,2015-05-25,0,0,216
948,Jacob Dunbar,United States,USA,13,756,2018-12-10,0,0,29
949,Alan Kohen,Argentina,ARG,13,755,2015-08-10,0,0,28
950,Marco Brugnerotto,Italy,ITA,13,894,2020-01-13,0,0,15
951,George Loffhagen,United Kingdom,GBR,13,687,2018-12-17,0,0,36
952,Ajeet Rai,New Zealand,NZL,13,694,2018-11-19,0,0,35
953,Koray Kirci,Turkey,TUR,13,868,2018-07-30,0,0,19
954,Valentin Guenther,Germany,GER,13,850,2019-11-11,0,0,16
955,Matvey Minin,Russian Federation,RUS,13,871,2019-09-30,0,0,16
956,Hugo Schott,France,FRA,13,897,2019-12-09,0,0,15
957,Alex Blumenberg,Brazil,BRA,13,656,2014-05-19,0,0,38
958,Simon Anthony Ivanov,Bulgaria,BUL,13,921,2020-03-09,0,0,13
959,Timur Kiuamov,Russian Federation,RUS,13,759,2018-05-07,0,0,25
960,Petros Tsitsipas,Greece,GRE,13,960,2021-01-04,0,0,13
961,Vincent Millot,France,FRA,12,135,2016-10-10,0,0,442
962,Pascal Meis,Germany,GER,12,487,2018-05-21,0,0,73
963,Pierre Faivre,France,FRA,12,813,2017-10-02,0,0,21
964,Uisung Park,"Korea, Republic of",KOR,12,911,2020-01-13,0,0,12
965,Mattia Bellucci,Italy,ITA,12,963,2020-12-21,0,0,12
966,Pak Long Yeung,Hong Kong,HKG,12,940,2020-08-24,0,0,12
967,Marius Ruzgas,Sweden,SWE,12,954,2020-10-12,0,0,12
968,Saidalo Saidkarimov,Uzbekistan,UZB,12,610,2019-07-01,0,0,20
969,Luca Gelhardt,Germany,GER,12,848,2018-03-05,0,0,18
970,Franco Feitt,Argentina,ARG,12,920,2020-01-13,0,0,14
971,Blake Ellis,Australia,AUS,12,348,2019-02-11,0,0,92
972,Simon Beaupain,Belgium,BEL,12,878,2019-11-18,0,0,14
973,Maxime Mora,France,FRA,12,755,2018-12-24,0,0,29
974,Maxime Pauwels,Belgium,BEL,12,602,2018-12-03,0,0,50
975,Luis Patino,Mexico,MEX,12,567,2019-03-18,0,0,42
976,Mirko Martinez,Switzerland,SUI,12,838,2019-10-28,0,0,18
977,Samuele Ramazzotti,Italy,ITA,11,609,2019-07-15,0,0,16
978,Niels Visker,Netherlands,NED,11,971,2020-12-14,0,0,11
979,Peter Fajta,Hungary,HUN,11,970,2020-12-07,0,0,11
980,Andrea Bolla,Italy,ITA,11,933,2019-11-18,0,0,11
981,Vadym Ursu,Ukraine,UKR,11,605,2016-11-07,0,0,49
982,Maciej Rajski,Poland,POL,11,532,2017-09-11,0,0,59
983,Justin Boulais,Canada,CAN,11,540,2019-07-29,0,0,11
984,Francesco Passaro,Italy,ITA,11,968,2020-10-12,0,0,11
985,Chuhan Wang,China,CHN,11,365,2015-04-20,0,0,121
986,Oleksandr Ovcharenko,Ukraine,UKR,11,986,2020-12-28,0,0,11
987,Filip Misolic,Austria,AUT,11,974,2020-12-14,0,0,11
988,Yaraslau Shyla,Belarus,BLR,11,306,2015-06-22,0,0,156
989,Rimpei Kawakami,Japan,JPN,11,879,2019-08-26,0,0,16
990,Luka Pavlovic,France,FRA,11,932,2018-07-23,0,0,14
991,William Bushamuka,"Congo, the Democratic Republic of the",COD,11,904,2019-11-11,0,0,13
992,Luca Tomasetto,Italy,ITA,11,942,2019-11-18,0,0,11
993,Matyas Fuele,Hungary,HUN,11,949,2019-12-09,0,0,11
994,Bart Van Den Berg,Netherlands,NED,11,927,2019-11-11,0,0,12
995,S D Prajwal Dev,India,IND,11,944,2020-01-13,0,0,11
996,Kalman L Boyd,United States,USA,11,947,2019-11-11,0,0,11
997,Dhruv Sunish,India,IND,11,940,2019-11-18,0,0,11
998,Harry Thursfield,United Kingdom,GBR,11,985,2020-11-16,0,0,11
999,Gabriel Donev,Bulgaria,BUL,11,782,2019-10-07,0,0,21
1000,Tristan Boyer,United States,USA,11,983,2020-11-09,0,0,11
1001,Petr Hajek,Czech Republic,CZE,11,759,2019-08-05,0,0,26
