rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
265,Jason Kubler,Australia,AUS,210,91,2018-10-08,-2,0,617
266,Thanasi Kokkinakis,Australia,AUS,209,69,2015-06-08,-2,0,723
267,Dustin Brown,Germany,GER,209,64,2016-10-10,-2,0,778
268,Janko Tipsarevic,Serbia,SRB,208,8,2012-04-02,0,0,3320
269,Mischa Zverev,Germany,GER,208,25,2017-07-24,0,0,1664
270,Pedja Krstin,Serbia,SRB,207,159,2016-05-09,0,0,356
271,Guilherme Clezar,Brazil,BRA,207,153,2015-08-03,0,0,334
272,Andrea Arnaboldi,Italy,ITA,206,153,2015-10-12,0,0,367
273,Ji Sung Nam,"Korea, Republic of",KOR,205,236,2019-08-12,0,0,205
274,Adrian Menendez Maceiras,Spain,ESP,204,111,2015-06-08,0,0,505
275,Matthias Bachinger,Germany,GER,201,85,2011-08-15,0,0,625
276,Akira Santillan,Australia,AUS,201,144,2017-11-13,9,19,392
277,Steve Darcis,Belgium,BEL,196,38,2017-05-22,-1,0,1362
278,Dimitar Kuzmanov,Bulgaria,BUL,196,249,2018-12-24,-1,0,210
279,Teymuraz Gabashvili,Russian Federation,RUS,195,43,2016-02-01,-1,0,1226
280,Stefano Napolitano,Italy,ITA,194,152,2017-06-12,-1,0,360
281,Andrea Pellegrino,Italy,ITA,194,274,2020-10-19,-1,0,194
282,Duck Hee Lee,"Korea, Republic of",KOR,193,130,2017-04-10,-1,0,440
283,Chun Hsin Tseng,"Taiwan, Province of China",TPE,188,272,2020-02-24,-1,0,188
284,Thomaz Bellucci,Brazil,BRA,185,21,2010-07-26,-1,0,1732
285,Viktor Galovic,Italy,ITA,183,173,2018-05-14,-1,0,324
286,Geoffrey Blancaneaux,France,FRA,182,264,2020-03-02,0,0,190
287,Goncalo Oliveira,Portugal,POR,182,194,2017-12-25,0,0,268
288,Igor Sijsling,Netherlands,NED,178,52,2014-02-17,1,1,910
289,Shuichi Sekiguchi,Japan,JPN,178,259,2014-05-05,-1,0,184
290,Riccardo Bonadio,Italy,ITA,177,277,2020-09-14,0,0,177
291,Darian King,Barbados,BAR,176,106,2017-05-08,0,0,523
292,Pedro Sakamoto,Brazil,BRA,174,284,2020-02-24,0,0,174
293,Roberto Ortega Olmedo,Spain,ESP,173,232,2019-11-18,0,0,211
