Marco Cecchinato,Italy,828
Kevin Anderson,South Africa,825
Federico Delbonis,Argentina,825
Pierre Hugues Herbert,France,812
Thiago Monteiro,Brazil,804
Pedro Martinez Portero,Spain,800
Emil Ruusuvuori,Finland,796
Lloyd George Muirhead Harris,South Africa,793
Norbert Gombos,Slovakia,789
Mikhail Kukushkin,Kazakhstan,776
Joao Sousa,Portugal,776
Federico Coria,Argentina,775
Attila Balazs,Hungary,774
Radu Albot,"Moldova, Republic of",772
Mikael Ymer,Sweden,763
Soon Woo Kwon,"Korea, Republic of",752
Dennis Novak,Austria,737
Roberto Carballes Baena,Spain,731
Philipp Kohlschreiber,Germany,729
Yannick Hanfmann,Germany,728
Gianluca Mager,Italy,725
Andrej Martin,Slovakia,724
Yuichi Sugita,Japan,713
James Duckworth,Australia,701
Yasutaka Uchiyama,Japan,696
Pedro Sousa,Portugal,691
Andreas Seppi,Italy,689
Kamil Majchrzak,Poland,680
Ilya Ivashka,Belarus,674
Gregoire Barrere,France,647
Jaume Munar,Spain,646
Hugo Dellien,"Bolivia, Plurinational State of",638
Aslan Karatsev,Russian Federation,637
Alexei Popyrin,Australia,623
Denis Kudla,United States,600
Daniel Elahi Galan Riveros,Colombia,599
Thiago Seyboth Wild,Brazil,586
Taro Daniel,Japan,581
Sebastian Korda,United States,563
Damir Dzumhur,Bosnia and Herzegovina,562
Christopher Oconnell,Australia,558
Antonie Hoang,France,550
Andy Murray,United Kingdom,547
Evgeny Donskoy,Russian Federation,540
Marc Polmans,Australia,539
Facundo Bagnis,Argentina,531
Cedrik Marcel Stebe,Germany,529
Jeffrey John Wolf,United States,519
Lorenzo Musetti,Italy,509
Prajnesh Gunneswaran,India,506
Daniel Altmaier,Germany,501
Jozef Kovalik,Slovakia,498
Jason Jung,"Taiwan, Province of China",490
Go Soeda,Japan,490
Henri Laaksonen,Switzerland,485
Leonardo Mayer,Argentina,482
Sumit Nagal,India,475
Federico Gaio,Italy,474
Nikola Milojevic,Serbia,472
Francisco Cerundolo,Argentina,471
Oscar Otte,Germany,467
Carlos Alcaraz Garfia,Spain,464
Danilo Petrovic,Serbia,458
Carlos Taberner,Spain,457
Jurij Rodionov,Austria,455
Peter Gojowczyk,Germany,454
Paolo Lorenzi,Italy,450
Ivo Karlovic,Croatia,444
Marc Andrea Huesler,Switzerland,444
Bradley Klahn,United States,436
Bernabe Zapata Miralles,Spain,436
Martin Klizan,Slovakia,432
Lorenzo Giustino,Italy,426
Tallon Griekspoor,Netherlands,423
Mohamed Safwat,Egypt,418
Blaz Rola,Slovenia,417
Botic Van De Zandschulp,Netherlands,416
Juan Martin Del Potro,Argentina,415
Juan Pablo Varillas Patino Samudio,Peru,411
Sebastian Ofner,Austria,402
Emilio Gomez,Ecuador,395
Hyeon Chung,"Korea, Republic of",391
Hugo Gaston,France,390
Guido Andreozzi,Argentina,389
Zhizhen Zhang,China,389
Benjamin Bonzi,France,388
